SEGMENT_ID,PROD_ID,USR_ID,START_TIME,STOP_TIME,RUN_TIME,MASS_TOTAL,ADD1_TOTAL,ADD2_TOTAL,ADD3_TOTAL,ADD4_TOTAL,ADD5_TOTAL,TOTAL_INCL_ADDITIVES,ADD1_PERCENT,ADD2_PERCENT,ADD3_PERCENT,ADD4_PERCENT,ADD5_PERCENT
SEG_260827_214600_215319,260827_214600,N/A,2026-08-27T21:46:19,2026-08-27T21:52:37,193,0.410384536,0.004763067,0.005276672,0.005738623,0.006226574,0.006599932,0.438989401,1.085007429,1.202004433,1.307234883,1.418388128,1.503437757
SEG_260827_215700_215637,260827_215700,N/A,2026-08-27T21:56:37,2026-08-27T22:04:42,28,0.097378023,0.001350873,0.001302103,0.001416045,0.001535778,0.001571684,0.104554504,1.292027473,1.245382428,1.3543607,1.468877673,1.50322032
SEG_260827_220520_220442,260827_220520,N/A,2026-08-27T22:04:42,2026-08-27T22:04:42,321,1,1,1,1,1,1,1,1,1,1,1,1
SEG_260828_153720_153707,260828_153720,N/A,2026-08-28T15:37:07,2026-08-27T23:59:59,293,0.904599249,0.010498724,0.01163142,0.012649466,0.013725011,0.014548228,0.967652082,1.084968925,1.202024937,1.307232857,1.418382764,1.503456473
SEG_260828_160220_160159,260828_160220,N/A,2026-08-29T00:00:00,2026-08-29T11:01:27,39693,137.6630402,1.598739147,1.769491196,1.928794742,2.093621254,2.216226816,147.2699127,1.085584283,1.201529384,1.309700489,1.421621799,1.50487411
SEG_260829_110140_110127,260829_110140,N/A,2026-08-29T11:01:27,2026-08-29T23:59:59,46693,162.360611,1.886563063,2.086956263,2.274349689,2.468215704,2.614010811,173.6907196,1.086162329,1.201535821,1.309424996,1.421040654,1.504980087
