SEGMENT_ID,PROD_ID,USR_ID,START_TIME,STOP_TIME,RUN_TIME,MASS_TOTAL,ADD1_TOTAL,ADD2_TOTAL,ADD3_TOTAL,ADD4_TOTAL,ADD5_TOTAL,TOTAL_INCL_ADDITIVES,ADD1_PERCENT,ADD2_PERCENT,ADD3_PERCENT,ADD4_PERCENT,ADD5_PERCENT
SEG_260901_233420_233405,260901_233420,N/A,2026-09-01T23:34:05,2026-09-01T23:37:04,134.0,0.2490793615579605,0.003418291686102748,0.0027929304633289576,0.0030204327777028084,0.0031304904259741306,0.0033604379277676344,0.264801949262619,1.205541968345642,1.0637670755386353,1.1757344007492065,1.279417634010315,1.394722580909729
SEG_260901_233720_233704,260901_233720,N/A,2026-09-01T23:37:04,2026-09-01T23:59:59,1354.0,4.707326412200928,0.05464298650622368,0.06052238494157791,0.06581506133079529,0.07140816748142242,0.07570871710777283,5.03542423248291,1.0851714611053467,1.2019321918487549,1.307041049003601,1.4181162118911743,1.5035221576690674
SEG_260902_000800_000753,260902_000800,N/A,2026-09-02T00:07:53,,,,,,,,,,,,,,
